id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
26728,63,364,711,1H,2593.365397,Others on the ball,Touch,interception,28,76,35.0,79.0,
26817,63,364,1584,1H,2820.178287,Others on the ball,Touch,interception,29,66,76.0,93.0,
26982,63,364,1368,2H,423.438138,Others on the ball,Touch,interception,39,86,42.0,78.0,
27099,63,364,36,2H,877.814351,Others on the ball,Touch,interception,65,10,64.0,0.0,
27223,63,364,711,2H,1255.6989400000002,Others on the ball,Touch,interception,57,88,62.0,100.0,
27412,63,364,711,2H,1961.81006,Others on the ball,Clearance,interception,4,63,0.0,71.0,
26026,81,364,178,1H,314.754013,Others on the ball,Touch,interception,65,93,62.0,100.0,
26199,81,364,1630,1H,847.607901,Others on the ball,Touch,interception,3,36,0.0,27.0,
26311,63,364,1584,1H,1286.881032,Others on the ball,Touch,interception,20,60,10.0,65.0,
26566,63,364,711,1H,1964.790842,Others on the ball,Touch,interception,31,80,47.0,92.0,
26689,63,364,1362,1H,2450.250963,Others on the ball,Touch,interception,20,65,22.0,91.0,
26800,63,364,1586,1H,2772.291995,Others on the ball,Touch,interception,5,38,11.0,10.0,
26971,63,364,1584,2H,381.3663059999999,Others on the ball,Touch,interception,35,45,34.0,32.0,
26996,63,364,1584,2H,483.144753,Others on the ball,Touch,interception,18,52,32.0,69.0,
27166,81,364,1658,2H,1093.828001,Others on the ball,Touch,interception,25,73,28.0,80.0,
27307,81,364,22,2H,1611.6638119999998,Others on the ball,Touch,interception,18,48,33.0,28.0,
27625,63,364,1584,2H,2817.069498,Others on the ball,Touch,interception,22,42,20.0,56.0,
26023,63,364,1586,1H,308.39431,Others on the ball,Touch,interception,30,53,45.0,37.0,
26159,81,364,178,1H,718.4945809999999,Others on the ball,Touch,interception,19,94,21.0,100.0,
26283,63,364,36,1H,1175.822106,Others on the ball,Clearance,interception,12,52,0.0,54.0,
26488,81,364,1658,1H,1754.8112070000002,Others on the ball,Touch,interception,8,35,8.0,33.0,
26656,81,364,1433,1H,2344.137337,Others on the ball,Touch,interception,6,62,36.0,100.0,
26780,63,364,1292,1H,2697.845407,Others on the ball,Touch,interception,31,42,83.0,85.0,
26932,63,364,1368,2H,272.93244400000003,Others on the ball,Touch,interception,22,87,6.0,73.0,
26988,63,364,1586,2H,434.2543780000001,Others on the ball,Clearance,interception,4,58,31.0,82.0,
